Service Sectors,Age Group,Year,No. of employed,Gender
Wholesale & Retail Trade,60 - 64,2015,11.1,Female
Transportation & Storage,60 - 64,2015,2.8,Female
Accommodation & Food Services,60 - 64,2015,8.4,Female
Information & Communications,60 - 64,2015,0.7,Female
Financial & Insurance Services,60 - 64,2015,2.4,Female
Real Estate Services,60 - 64,2015,2.6,Female
Professional And Administrative & Support,60 - 64,2015,5.5,Female
Wholesale & Retail Trade,65 or over,2015,7.1,Female
Transportation & Storage,65 or over,2015,1.1,Female
Accommodation & Food Services,65 or over,2015,8.6,Female
Information & Communications,65 or over,2015,0.4,Female
Financial & Insurance Services,65 or over,2015,1.5,Female
Real Estate Services,65 or over,2015,1.8,Female
Professional And Administrative & Support,65 or over,2015,3.2,Female
Wholesale & Retail Trade,15 - 19,2014,2.3,Female
Transportation & Storage,15 - 19,2014,0.2,Female
Accommodation & Food Services,15 - 19,2014,2.7,Female
Information & Communications,15 - 19,2014,0.6,Female
Financial & Insurance Services,15 - 19,2014,0.2,Female
Professional And Administrative & Support,15 - 19,2014,0.8999999999999999,Female
Wholesale & Retail Trade,20 - 24,2014,10.2,Female
Transportation & Storage,20 - 24,2014,3.8,Female
Accommodation & Food Services,20 - 24,2014,5.0,Female
Information & Communications,20 - 24,2014,3.3,Female
Financial & Insurance Services,20 - 24,2014,5.9,Female
Real Estate Services,20 - 24,2014,0.9,Female
Professional And Administrative & Support,20 - 24,2014,8.9,Female
Wholesale & Retail Trade,25 - 29,2014,14.6,Female
Transportation & Storage,25 - 29,2014,5.5,Female
Accommodation & Food Services,25 - 29,2014,4.2,Female
Information & Communications,25 - 29,2014,5.5,Female
Financial & Insurance Services,25 - 29,2014,11.0,Female
Real Estate Services,25 - 29,2014,2.8,Female
Professional And Administrative & Support,25 - 29,2014,15.1,Female
Wholesale & Retail Trade,30 - 34,2014,18.6,Female
Transportation & Storage,30 - 34,2014,6.4,Female
Accommodation & Food Services,30 - 34,2014,4.9,Female
Information & Communications,30 - 34,2014,6.5,Female
Financial & Insurance Services,30 - 34,2014,15.9,Female
Real Estate Services,30 - 34,2014,3.3,Female
Professional And Administrative & Support,30 - 34,2014,15.600000000000001,Female
Wholesale & Retail Trade,35 - 39,2014,21.0,Female
Transportation & Storage,35 - 39,2014,5.5,Female
Accommodation & Food Services,35 - 39,2014,5.9,Female
Information & Communications,35 - 39,2014,5.1,Female
Financial & Insurance Services,35 - 39,2014,13.6,Female
Real Estate Services,35 - 39,2014,3.6,Female
Professional And Administrative & Support,35 - 39,2014,13.8,Female
Wholesale & Retail Trade,40 - 44,2014,22.4,Female
Transportation & Storage,40 - 44,2014,5.5,Female
Accommodation & Food Services,40 - 44,2014,7.4,Female
Information & Communications,40 - 44,2014,5.0,Female
Financial & Insurance Services,40 - 44,2014,12.8,Female
Real Estate Services,40 - 44,2014,4.0,Female
Professional And Administrative & Support,40 - 44,2014,14.2,Female
Wholesale & Retail Trade,45 - 49,2014,21.6,Female
Transportation & Storage,45 - 49,2014,5.5,Female
Accommodation & Food Services,45 - 49,2014,8.5,Female
Information & Communications,45 - 49,2014,2.6,Female
Financial & Insurance Services,45 - 49,2014,9.2,Female
Real Estate Services,45 - 49,2014,3.9,Female
Professional And Administrative & Support,45 - 49,2014,11.5,Female
Wholesale & Retail Trade,50 - 54,2014,21.8,Female
Transportation & Storage,50 - 54,2014,5.0,Female
Accommodation & Food Services,50 - 54,2014,12.0,Female
Information & Communications,50 - 54,2014,3.2,Female
Financial & Insurance Services,50 - 54,2014,8.4,Female
Real Estate Services,50 - 54,2014,3.6,Female
Professional And Administrative & Support,50 - 54,2014,11.7,Female
Wholesale & Retail Trade,55 - 59,2014,18.6,Female
Transportation & Storage,55 - 59,2014,4.8,Female
Accommodation & Food Services,55 - 59,2014,10.8,Female
Information & Communications,55 - 59,2014,1.9,Female
Financial & Insurance Services,55 - 59,2014,4.5,Female
Real Estate Services,55 - 59,2014,2.8,Female
Professional And Administrative & Support,55 - 59,2014,10.3,Female
Wholesale & Retail Trade,60 - 64,2014,10.3,Female
Transportation & Storage,60 - 64,2014,2.4,Female
Accommodation & Food Services,60 - 64,2014,7.6,Female
Information & Communications,60 - 64,2014,0.5,Female
Financial & Insurance Services,60 - 64,2014,2.6,Female
Real Estate Services,60 - 64,2014,1.7,Female
Professional And Administrative & Support,60 - 64,2014,7.1000000000000005,Female
Wholesale & Retail Trade,65 or over,2014,8.7,Female
Transportation & Storage,65 or over,2014,1.3,Female
Accommodation & Food Services,65 or over,2014,7.4,Female
Information & Communications,65 or over,2014,0.6,Female
Financial & Insurance Services,65 or over,2014,0.6,Female
Real Estate Services,65 or over,2014,1.3,Female
Professional And Administrative & Support,65 or over,2014,6.0,Female
Wholesale & Retail Trade,15 - 19,2013,2.6,Female
Transportation & Storage,15 - 19,2013,0.3,Female
Accommodation & Food Services,15 - 19,2013,3.2,Female
Information & Communications,15 - 19,2013,0.3,Female
Financial & Insurance Services,15 - 19,2013,0.3,Female
Wholesale & Retail Trade,20 - 24,2013,10.1,Female
Professional And Administrative & Support,20 - 24,2013,10.5,Female
Transportation & Storage,20 - 24,2013,4.5,Female
Accommodation & Food Services,20 - 24,2013,4.4,Female
Information & Communications,20 - 24,2013,3.2,Female
Financial & Insurance Services,20 - 24,2013,5.0,Female
Real Estate Services,20 - 24,2013,1.4,Female
Wholesale & Retail Trade,25 - 29,2013,12.8,Female
Professional And Administrative & Support,25 - 29,2013,16.1,Female
Transportation & Storage,25 - 29,2013,6.9,Female
Accommodation & Food Services,25 - 29,2013,4.6,Female
Information & Communications,25 - 29,2013,4.4,Female
Financial & Insurance Services,25 - 29,2013,12.9,Female
Real Estate Services,25 - 29,2013,1.6,Female
Wholesale & Retail Trade,30 - 34,2013,16.6,Female
Professional And Administrative & Support,30 - 34,2013,20.0,Female
Transportation & Storage,30 - 34,2013,7.0,Female
Accommodation & Food Services,30 - 34,2013,4.5,Female
Information & Communications,30 - 34,2013,7.2,Female
Financial & Insurance Services,30 - 34,2013,14.8,Female
Real Estate Services,30 - 34,2013,2.6,Female
Wholesale & Retail Trade,35 - 39,2013,19.3,Female
Professional And Administrative & Support,35 - 39,2013,23.2,Female
Transportation & Storage,35 - 39,2013,6.3,Female
Accommodation & Food Services,35 - 39,2013,5.2,Female
Information & Communications,35 - 39,2013,7.1,Female
Financial & Insurance Services,35 - 39,2013,11.4,Female
Real Estate Services,35 - 39,2013,3.8,Female
Wholesale & Retail Trade,40 - 44,2013,19.4,Female
Professional And Administrative & Support,40 - 44,2013,23.5,Female
Transportation & Storage,40 - 44,2013,6.1,Female
Accommodation & Food Services,40 - 44,2013,7.3,Female
Information & Communications,40 - 44,2013,5.6,Female
Financial & Insurance Services,40 - 44,2013,12.3,Female
Real Estate Services,40 - 44,2013,3.5,Female
Wholesale & Retail Trade,45 - 49,2013,20.0,Female
Professional And Administrative & Support,45 - 49,2013,23.5,Female
Transportation & Storage,45 - 49,2013,4.9,Female
Accommodation & Food Services,45 - 49,2013,8.1,Female
Information & Communications,45 - 49,2013,2.7,Female
Financial & Insurance Services,45 - 49,2013,8.0,Female
Real Estate Services,45 - 49,2013,3.3,Female
Wholesale & Retail Trade,50 - 54,2013,18.1,Female
Professional And Administrative & Support,50 - 54,2013,22.8,Female
Transportation & Storage,50 - 54,2013,5.5,Female
Accommodation & Food Services,50 - 54,2013,11.1,Female
Information & Communications,50 - 54,2013,3.2,Female
Financial & Insurance Services,50 - 54,2013,7.4,Female
Real Estate Services,50 - 54,2013,3.1,Female
Wholesale & Retail Trade,55 - 59,2013,13.4,Female
Professional And Administrative & Support,55 - 59,2013,19.1,Female
Transportation & Storage,55 - 59,2013,4.0,Female
Accommodation & Food Services,55 - 59,2013,10.8,Female
Information & Communications,55 - 59,2013,2.2,Female
Financial & Insurance Services,55 - 59,2013,4.5,Female
Real Estate Services,55 - 59,2013,2.7,Female
Wholesale & Retail Trade,60 - 64,2013,8.9,Female
Professional And Administrative & Support,60 - 64,2013,13.8,Female
Transportation & Storage,60 - 64,2013,1.7,Female
Accommodation & Food Services,60 - 64,2013,9.0,Female
Information & Communications,60 - 64,2013,0.4,Female
Financial & Insurance Services,60 - 64,2013,1.8,Female
Real Estate Services,60 - 64,2013,1.3,Female
Wholesale & Retail Trade,65 or over,2013,5.9,Female
Professional And Administrative & Support,65 or over,2013,10.8,Female
Transportation & Storage,65 or over,2013,0.6,Female
Accommodation & Food Services,65 or over,2013,6.9,Female
Information & Communications,65 or over,2013,0.3,Female
Financial & Insurance Services,65 or over,2013,0.8,Female
Real Estate Services,65 or over,2013,1.0,Female
Wholesale & Retail Trade,15 - 19,2012,2.7,Female
Professional And Administrative & Support,15 - 19,2012,7.4,Female
Transportation & Storage,15 - 19,2012,0.5,Female
Accommodation & Food Services,15 - 19,2012,2.3,Female
Information & Communications,15 - 19,2012,0.3,Female
Financial & Insurance Services,15 - 19,2012,0.6,Female
Real Estate Services,15 - 19,2012,0.1,Female
Wholesale & Retail Trade,20 - 24,2012,10.6,Female
Professional And Administrative & Support,20 - 24,2012,10.9,Female
Transportation & Storage,20 - 24,2012,4.2,Female
Accommodation & Food Services,20 - 24,2012,4.8,Female
Information & Communications,20 - 24,2012,3.3,Female
Financial & Insurance Services,20 - 24,2012,7.4,Female
Real Estate Services,20 - 24,2012,1.2,Female
Wholesale & Retail Trade,25 - 29,2012,11.3,Female
Professional And Administrative & Support,25 - 29,2012,13.700000000000001,Female
Transportation & Storage,25 - 29,2012,6.0,Female
Accommodation & Food Services,25 - 29,2012,3.8,Female
Information & Communications,25 - 29,2012,5.0,Female
Financial & Insurance Services,25 - 29,2012,13.2,Female
Real Estate Services,25 - 29,2012,3.2,Female
Wholesale & Retail Trade,30 - 34,2012,17.7,Female
Professional And Administrative & Support,30 - 34,2012,21.099999999999998,Female
Transportation & Storage,30 - 34,2012,6.0,Female
Accommodation & Food Services,30 - 34,2012,4.7,Female
Information & Communications,30 - 34,2012,6.3,Female
Financial & Insurance Services,30 - 34,2012,14.6,Female
Real Estate Services,30 - 34,2012,3.3,Female
Wholesale & Retail Trade,35 - 39,2012,22.0,Female
Professional And Administrative & Support,35 - 39,2012,26.4,Female
Transportation & Storage,35 - 39,2012,6.7,Female
Accommodation & Food Services,35 - 39,2012,4.8,Female
Information & Communications,35 - 39,2012,5.6,Female
Financial & Insurance Services,35 - 39,2012,12.8,Female
Real Estate Services,35 - 39,2012,4.1,Female
Wholesale & Retail Trade,40 - 44,2012,20.3,Female
Professional And Administrative & Support,40 - 44,2012,24.8,Female
Transportation & Storage,40 - 44,2012,6.5,Female
Accommodation & Food Services,40 - 44,2012,7.6,Female
Information & Communications,40 - 44,2012,4.7,Female
Financial & Insurance Services,40 - 44,2012,10.9,Female
Real Estate Services,40 - 44,2012,4.0,Female
Wholesale & Retail Trade,45 - 49,2012,22.0,Female
Professional And Administrative & Support,45 - 49,2012,25.9,Female
Transportation & Storage,45 - 49,2012,6.1,Female
Accommodation & Food Services,45 - 49,2012,9.6,Female
Information & Communications,45 - 49,2012,2.5,Female
Financial & Insurance Services,45 - 49,2012,8.4,Female
Real Estate Services,45 - 49,2012,2.8,Female
Wholesale & Retail Trade,50 - 54,2012,19.3,Female
Professional And Administrative & Support,50 - 54,2012,24.8,Female
Transportation & Storage,50 - 54,2012,5.1,Female
Accommodation & Food Services,50 - 54,2012,11.4,Female
Information & Communications,50 - 54,2012,2.3,Female
Financial & Insurance Services,50 - 54,2012,6.0,Female
Real Estate Services,50 - 54,2012,3.4,Female
Wholesale & Retail Trade,55 - 59,2012,13.2,Female
Professional And Administrative & Support,55 - 59,2012,19.1,Female
Transportation & Storage,55 - 59,2012,3.4,Female
Accommodation & Food Services,55 - 59,2012,9.6,Female
Information & Communications,55 - 59,2012,1.3,Female
Financial & Insurance Services,55 - 59,2012,3.5,Female
Real Estate Services,55 - 59,2012,1.8,Female
Wholesale & Retail Trade,60 - 64,2012,8.7,Female
Professional And Administrative & Support,60 - 64,2012,14.399999999999999,Female
Transportation & Storage,60 - 64,2012,2.2,Female
Accommodation & Food Services,60 - 64,2012,7.3,Female
Information & Communications,60 - 64,2012,0.4,Female
Financial & Insurance Services,60 - 64,2012,1.4,Female
Real Estate Services,60 - 64,2012,0.7,Female
Wholesale & Retail Trade,65 or over,2012,4.7,Female
Professional And Administrative & Support,65 or over,2012,8.8,Female
Transportation & Storage,65 or over,2012,0.6,Female
Accommodation & Food Services,65 or over,2012,5.3,Female
Information & Communications,65 or over,2012,0.3,Female
Financial & Insurance Services,65 or over,2012,0.8,Female
Real Estate Services,65 or over,2012,0.7,Female
Wholesale & Retail Trade,15 - 19,2011,3.5,Female
Professional And Administrative & Support,15 - 19,2011,8.0,Female
Transportation & Storage,15 - 19,2011,0.4,Female
Accommodation & Food Services,15 - 19,2011,1.7,Female
Information & Communications,15 - 19,2011,0.3,Female
Financial & Insurance Services,15 - 19,2011,0.3,Female
Real Estate Services,15 - 19,2011,0.1,Female
Wholesale & Retail Trade,20 - 24,2011,10.7,Female
Professional And Administrative & Support,20 - 24,2011,11.2,Female
Transportation & Storage,20 - 24,2011,4.7,Female
Accommodation & Food Services,20 - 24,2011,5.7,Female
Information & Communications,20 - 24,2011,3.2,Female
Financial & Insurance Services,20 - 24,2011,6.7,Female
Real Estate Services,20 - 24,2011,1.2,Female
Wholesale & Retail Trade,25 - 29,2011,13.3,Female
Professional And Administrative & Support,25 - 29,2011,16.2,Female
Transportation & Storage,25 - 29,2011,6.4,Female
Accommodation & Food Services,25 - 29,2011,4.4,Female
Information & Communications,25 - 29,2011,6.1,Female
Financial & Insurance Services,25 - 29,2011,14.2,Female
Real Estate Services,25 - 29,2011,2.4,Female
Wholesale & Retail Trade,30 - 34,2011,17.5,Female
Professional And Administrative & Support,30 - 34,2011,20.7,Female
Transportation & Storage,30 - 34,2011,6.8,Female
Accommodation & Food Services,30 - 34,2011,4.6,Female
Information & Communications,30 - 34,2011,6.9,Female
Financial & Insurance Services,30 - 34,2011,14.3,Female
Real Estate Services,30 - 34,2011,3.5,Female
Wholesale & Retail Trade,35 - 39,2011,19.7,Female
Professional And Administrative & Support,35 - 39,2011,23.5,Female
Transportation & Storage,35 - 39,2011,5.7,Female
Accommodation & Food Services,35 - 39,2011,6.8,Female
Information & Communications,35 - 39,2011,6.4,Female
Financial & Insurance Services,35 - 39,2011,13.4,Female
Real Estate Services,35 - 39,2011,4.2,Female
Wholesale & Retail Trade,40 - 44,2011,19.3,Female
Professional And Administrative & Support,40 - 44,2011,23.1,Female
Transportation & Storage,40 - 44,2011,5.8,Female
Accommodation & Food Services,40 - 44,2011,6.8,Female
Information & Communications,40 - 44,2011,3.8,Female
Financial & Insurance Services,40 - 44,2011,11.0,Female
Real Estate Services,40 - 44,2011,3.4,Female
Wholesale & Retail Trade,45 - 49,2011,22.6,Female
Professional And Administrative & Support,45 - 49,2011,27.1,Female
Transportation & Storage,45 - 49,2011,5.4,Female
Accommodation & Food Services,45 - 49,2011,10.0,Female
Information & Communications,45 - 49,2011,2.9,Female
Financial & Insurance Services,45 - 49,2011,8.6,Female
Real Estate Services,45 - 49,2011,2.8,Female
Wholesale & Retail Trade,50 - 54,2011,18.0,Female
Professional And Administrative & Support,50 - 54,2011,23.4,Female
Transportation & Storage,50 - 54,2011,5.5,Female
Accommodation & Food Services,50 - 54,2011,11.3,Female
Information & Communications,50 - 54,2011,2.2,Female
Financial & Insurance Services,50 - 54,2011,6.1,Female
Real Estate Services,50 - 54,2011,2.8,Female
Wholesale & Retail Trade,55 - 59,2011,12.7,Female
Professional And Administrative & Support,55 - 59,2011,18.6,Female
Transportation & Storage,55 - 59,2011,3.4,Female
Accommodation & Food Services,55 - 59,2011,10.1,Female
Information & Communications,55 - 59,2011,1.6,Female
Financial & Insurance Services,55 - 59,2011,3.0,Female
Real Estate Services,55 - 59,2011,2.2,Female
Wholesale & Retail Trade,60 - 64,2011,6.9,Female
Professional And Administrative & Support,60 - 64,2011,11.9,Female
Transportation & Storage,60 - 64,2011,1.6,Female
Accommodation & Food Services,60 - 64,2011,8.0,Female
Information & Communications,60 - 64,2011,0.3,Female
Financial & Insurance Services,60 - 64,2011,1.2,Female
Real Estate Services,60 - 64,2011,0.8,Female
Wholesale & Retail Trade,65 or over,2011,4.0,Female
Professional And Administrative & Support,65 or over,2011,7.9,Female
Transportation & Storage,65 or over,2011,0.6,Female
Accommodation & Food Services,65 or over,2011,4.8,Female
Information & Communications,65 or over,2011,0.3,Female
Financial & Insurance Services,65 or over,2011,0.5,Female
Real Estate Services,65 or over,2011,0.3,Female
Wholesale & Retail Trade,15 - 19,2010,3.6,Female
Professional And Administrative & Support,15 - 19,2010,7.699999999999999,Female
Transportation & Storage,15 - 19,2010,0.4,Female
Accommodation & Food Services,15 - 19,2010,2.7,Female
Information & Communications,15 - 19,2010,0.7,Female
Financial & Insurance Services,15 - 19,2010,0.4,Female
Real Estate Services,15 - 19,2010,0.2,Female
Wholesale & Retail Trade,20 - 24,2010,10.0,Female
Professional And Administrative & Support,20 - 24,2010,10.7,Female
Transportation & Storage,20 - 24,2010,3.5,Female
Accommodation & Food Services,20 - 24,2010,4.4,Female
Information & Communications,20 - 24,2010,3.4,Female
Financial & Insurance Services,20 - 24,2010,5.2,Female
Real Estate Services,20 - 24,2010,1.4,Female
Wholesale & Retail Trade,25 - 29,2010,12.5,Female
Professional And Administrative & Support,25 - 29,2010,15.5,Female
Transportation & Storage,25 - 29,2010,7.0,Female
Accommodation & Food Services,25 - 29,2010,3.3,Female
Information & Communications,25 - 29,2010,6.9,Female
Financial & Insurance Services,25 - 29,2010,12.5,Female
Real Estate Services,25 - 29,2010,2.2,Female
Wholesale & Retail Trade,30 - 34,2010,16.2,Female
Professional And Administrative & Support,30 - 34,2010,19.9,Female
Transportation & Storage,30 - 34,2010,7.3,Female
Accommodation & Food Services,30 - 34,2010,4.9,Female
Information & Communications,30 - 34,2010,7.2,Female
Financial & Insurance Services,30 - 34,2010,13.3,Female
Real Estate Services,30 - 34,2010,3.4,Female
Wholesale & Retail Trade,35 - 39,2010,18.1,Female
Professional And Administrative & Support,35 - 39,2010,21.6,Female
Transportation & Storage,35 - 39,2010,7.3,Female
Accommodation & Food Services,35 - 39,2010,6.0,Female
Information & Communications,35 - 39,2010,7.8,Female
Financial & Insurance Services,35 - 39,2010,12.9,Female
Real Estate Services,35 - 39,2010,3.1,Female
Wholesale & Retail Trade,40 - 44,2010,19.7,Female
Professional And Administrative & Support,40 - 44,2010,24.0,Female
Transportation & Storage,40 - 44,2010,5.4,Female
Accommodation & Food Services,40 - 44,2010,7.4,Female
Information & Communications,40 - 44,2010,4.4,Female
Financial & Insurance Services,40 - 44,2010,8.5,Female
Real Estate Services,40 - 44,2010,2.1,Female
Wholesale & Retail Trade,45 - 49,2010,20.2,Female
Professional And Administrative & Support,45 - 49,2010,24.5,Female
Transportation & Storage,45 - 49,2010,5.0,Female
Accommodation & Food Services,45 - 49,2010,9.4,Female
Information & Communications,45 - 49,2010,3.6,Female
Financial & Insurance Services,45 - 49,2010,7.3,Female
Real Estate Services,45 - 49,2010,3.0,Female
Wholesale & Retail Trade,50 - 54,2010,17.9,Female
Professional And Administrative & Support,50 - 54,2010,24.299999999999997,Female
Transportation & Storage,50 - 54,2010,4.3,Female
Accommodation & Food Services,50 - 54,2010,11.6,Female
Information & Communications,50 - 54,2010,2.4,Female
Financial & Insurance Services,50 - 54,2010,4.7,Female
Real Estate Services,50 - 54,2010,2.3,Female
Wholesale & Retail Trade,55 - 59,2010,12.2,Female
Professional And Administrative & Support,55 - 59,2010,18.2,Female
Transportation & Storage,55 - 59,2010,3.2,Female
Accommodation & Food Services,55 - 59,2010,9.6,Female
Information & Communications,55 - 59,2010,1.1,Female
Financial & Insurance Services,55 - 59,2010,2.3,Female
Real Estate Services,55 - 59,2010,1.3,Female
Wholesale & Retail Trade,60 - 64,2010,5.9,Female
Professional And Administrative & Support,60 - 64,2010,11.7,Female
Transportation & Storage,60 - 64,2010,1.6,Female
Accommodation & Food Services,60 - 64,2010,5.6,Female
Information & Communications,60 - 64,2010,0.3,Female
Financial & Insurance Services,60 - 64,2010,1.3,Female
Real Estate Services,60 - 64,2010,0.8,Female
Wholesale & Retail Trade,65 or over,2010,3.1,Female
Professional And Administrative & Support,65 or over,2010,7.1,Female
Transportation & Storage,65 or over,2010,0.4,Female
Accommodation & Food Services,65 or over,2010,3.8,Female
Information & Communications,65 or over,2010,0.1,Female
Financial & Insurance Services,65 or over,2010,0.5,Female
Real Estate Services,65 or over,2010,0.4,Female
Wholesale & Retail Trade,15 - 19,2009,2.8,Female
Professional And Administrative & Support,15 - 19,2009,5.8,Female
Transportation & Storage,15 - 19,2009,0.2,Female
Accommodation & Food Services,15 - 19,2009,2.5,Female
Information & Communications,15 - 19,2009,0.5,Female
Financial & Insurance Services,15 - 19,2009,0.2,Female
Real Estate Services,15 - 19,2009,0.1,Female
Wholesale & Retail Trade,20 - 24,2009,7.6,Female
Professional And Administrative & Support,20 - 24,2009,8.1,Female
Transportation & Storage,20 - 24,2009,3.8,Female
Accommodation & Food Services,20 - 24,2009,4.4,Female
Information & Communications,20 - 24,2009,3.1,Female
Financial & Insurance Services,20 - 24,2009,5.6,Female
Real Estate Services,20 - 24,2009,1.0,Female
Wholesale & Retail Trade,25 - 29,2009,11.9,Female
Professional And Administrative & Support,25 - 29,2009,15.2,Female
Transportation & Storage,25 - 29,2009,6.4,Female
Accommodation & Food Services,25 - 29,2009,3.8,Female
Information & Communications,25 - 29,2009,7.6,Female
Financial & Insurance Services,25 - 29,2009,12.5,Female
Real Estate Services,25 - 29,2009,2.7,Female
Wholesale & Retail Trade,30 - 34,2009,17.1,Female
Professional And Administrative & Support,30 - 34,2009,20.8,Female
Transportation & Storage,30 - 34,2009,5.6,Female
Accommodation & Food Services,30 - 34,2009,4.6,Female
Information & Communications,30 - 34,2009,8.7,Female
Financial & Insurance Services,30 - 34,2009,12.3,Female
Real Estate Services,30 - 34,2009,3.2,Female
Wholesale & Retail Trade,35 - 39,2009,19.0,Female
Professional And Administrative & Support,35 - 39,2009,23.5,Female
Transportation & Storage,35 - 39,2009,6.3,Female
Accommodation & Food Services,35 - 39,2009,5.2,Female
Information & Communications,35 - 39,2009,6.2,Female
Financial & Insurance Services,35 - 39,2009,12.6,Female
Real Estate Services,35 - 39,2009,3.6,Female
Wholesale & Retail Trade,40 - 44,2009,19.8,Female
Professional And Administrative & Support,40 - 44,2009,23.9,Female
Transportation & Storage,40 - 44,2009,5.0,Female
Accommodation & Food Services,40 - 44,2009,7.5,Female
Information & Communications,40 - 44,2009,4.6,Female
Financial & Insurance Services,40 - 44,2009,9.0,Female
Real Estate Services,40 - 44,2009,3.0,Female
Wholesale & Retail Trade,45 - 49,2009,18.8,Female
Professional And Administrative & Support,45 - 49,2009,23.6,Female
Transportation & Storage,45 - 49,2009,5.2,Female
Accommodation & Food Services,45 - 49,2009,10.7,Female
Information & Communications,45 - 49,2009,3.1,Female
Financial & Insurance Services,45 - 49,2009,6.9,Female
Real Estate Services,45 - 49,2009,3.4,Female
Wholesale & Retail Trade,50 - 54,2009,15.4,Female
Professional And Administrative & Support,50 - 54,2009,20.1,Female
Transportation & Storage,50 - 54,2009,4.2,Female
Accommodation & Food Services,50 - 54,2009,11.3,Female
Information & Communications,50 - 54,2009,2.6,Female
Financial & Insurance Services,50 - 54,2009,5.2,Female
Real Estate Services,50 - 54,2009,2.0,Female
Wholesale & Retail Trade,55 - 59,2009,9.7,Female
Professional And Administrative & Support,55 - 59,2009,14.6,Female
Transportation & Storage,55 - 59,2009,2.5,Female
Accommodation & Food Services,55 - 59,2009,7.4,Female
Information & Communications,55 - 59,2009,1.2,Female
Financial & Insurance Services,55 - 59,2009,2.6,Female
Real Estate Services,55 - 59,2009,1.6,Female
Wholesale & Retail Trade,60 - 64,2009,4.6,Female
Professional And Administrative & Support,60 - 64,2009,9.5,Female
Transportation & Storage,60 - 64,2009,1.1,Female
Accommodation & Food Services,60 - 64,2009,6.0,Female
Information & Communications,60 - 64,2009,0.4,Female
Financial & Insurance Services,60 - 64,2009,0.6,Female
Real Estate Services,60 - 64,2009,0.8,Female
Wholesale & Retail Trade,65 or over,2009,2.9,Female
Professional And Administrative & Support,65 or over,2009,5.8,Female
Transportation & Storage,65 or over,2009,0.3,Female
Accommodation & Food Services,65 or over,2009,3.9,Female
Information & Communications,65 or over,2009,0.2,Female
Financial & Insurance Services,65 or over,2009,0.4,Female
Real Estate Services,65 or over,2009,0.7,Female
Wholesale & Retail Trade,15 - 19,2008,3.3,Female
Professional And Administrative & Support,15 - 19,2008,5.699999999999999,Female
Transportation & Storage,15 - 19,2008,0.5,Female
Accommodation & Food Services,15 - 19,2008,2.3,Female
Information & Communications,15 - 19,2008,0.4,Female
Financial & Insurance Services,15 - 19,2008,0.6,Female
Real Estate Services,15 - 19,2008,0.1,Female
Wholesale & Retail Trade,20 - 24,2008,10.0,Female
Professional And Administrative & Support,20 - 24,2008,10.6,Female
Transportation & Storage,20 - 24,2008,3.9,Female
Accommodation & Food Services,20 - 24,2008,3.7,Female
Information & Communications,20 - 24,2008,4.0,Female
Financial & Insurance Services,20 - 24,2008,7.2,Female
Real Estate Services,20 - 24,2008,1.3,Female
Wholesale & Retail Trade,25 - 29,2008,11.6,Female
Professional And Administrative & Support,25 - 29,2008,14.399999999999999,Female
Transportation & Storage,25 - 29,2008,6.8,Female
Accommodation & Food Services,25 - 29,2008,3.4,Female
Information & Communications,25 - 29,2008,6.4,Female
Financial & Insurance Services,25 - 29,2008,12.5,Female
Real Estate Services,25 - 29,2008,2.1,Female
Wholesale & Retail Trade,30 - 34,2008,18.1,Female
Professional And Administrative & Support,30 - 34,2008,21.6,Female
Transportation & Storage,30 - 34,2008,6.0,Female
Accommodation & Food Services,30 - 34,2008,4.6,Female
Information & Communications,30 - 34,2008,7.0,Female
Financial & Insurance Services,30 - 34,2008,13.1,Female
Real Estate Services,30 - 34,2008,3.8,Female
Wholesale & Retail Trade,35 - 39,2008,17.6,Female
Professional And Administrative & Support,35 - 39,2008,22.0,Female
Transportation & Storage,35 - 39,2008,6.5,Female
Accommodation & Food Services,35 - 39,2008,5.3,Female
Information & Communications,35 - 39,2008,6.0,Female
Financial & Insurance Services,35 - 39,2008,13.0,Female
Real Estate Services,35 - 39,2008,3.0,Female
Wholesale & Retail Trade,40 - 44,2008,19.2,Female
Professional And Administrative & Support,40 - 44,2008,23.0,Female
Transportation & Storage,40 - 44,2008,5.6,Female
Accommodation & Food Services,40 - 44,2008,8.0,Female
Information & Communications,40 - 44,2008,4.5,Female
Financial & Insurance Services,40 - 44,2008,9.3,Female
Real Estate Services,40 - 44,2008,2.9,Female
Wholesale & Retail Trade,45 - 49,2008,19.2,Female
Professional And Administrative & Support,45 - 49,2008,23.6,Female
Transportation & Storage,45 - 49,2008,5.5,Female
Accommodation & Food Services,45 - 49,2008,10.6,Female
Information & Communications,45 - 49,2008,3.0,Female
Financial & Insurance Services,45 - 49,2008,8.2,Female
Real Estate Services,45 - 49,2008,2.3,Female
Wholesale & Retail Trade,50 - 54,2008,15.3,Female
Professional And Administrative & Support,50 - 54,2008,20.0,Female
Transportation & Storage,50 - 54,2008,5.3,Female
Accommodation & Food Services,50 - 54,2008,11.6,Female
Information & Communications,50 - 54,2008,2.3,Female
Financial & Insurance Services,50 - 54,2008,3.9,Female
Real Estate Services,50 - 54,2008,1.9,Female
Wholesale & Retail Trade,55 - 59,2008,9.0,Female
Professional And Administrative & Support,55 - 59,2008,14.4,Female
Transportation & Storage,55 - 59,2008,2.9,Female
Accommodation & Food Services,55 - 59,2008,8.2,Female
Information & Communications,55 - 59,2008,0.9,Female
